"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","Leaf_VIS_Spectral_Absorption"
"BNL12894","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Upper","77.2900137739565","20170305",0.928267276012641
"BNL12895","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Upper","190.971630182651","20170305",0.938634566930133
"BNL12896","FLMM","PSR+3500","MAM-AME","Mammea","americana","Upper","11.6426891841285","20170305",0.939825014874995
"BNL12897","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Upper","27.8104236827116","20170305",0.925691780179716
"BNL12898","FLMM","PSR+3500","MAM-AME","Mammea","americana","Upper","11.4676063550165","20170305",0.960686768766991
"BNL12900","FLMM","PSR+3500","BYR-LUC","Byrsonima","lucida","Upper","192.117010966133","20170305",0.945166950227177
"BNL12711","FLMM","HR-1024i","MAM-AMA","Mammea","americana",NA,"209.70403375511","20170305",0.949613369770203
"BNL12712","FLMM","HR-1024i","MAM-AMA","Mammea","americana","Upper","238.711732607577","20170305",0.955550066167132
"BNL12713","FLMM","HR-1024i","MAM-AMA","Mammea","americana","Upper","122.482287777205","20170305",0.944695158545688
"BNL12714","FLMM","HR-1024i","MAM-AMA","Mammea","americana","Upper","115.173293193664","20170305",0.934629667388866
"BNL12715","FLMM","HR-1024i","TRI-HIR","Trichilia","hirta","Upper","162.9116838549","20170305",0.932086674542832
"BNL12716","FLMM","HR-1024i","LYS-SAB","Lysiloma","sabicu","Upper","151.277845433333","20170305",0.94141717274468
"BNL12862","CAM II","HR-1024i","CHR-PAU","Chrysophyllum","pauciflorum","Mid","132.581731951136","20170305",0.92231038787833
"BNL12863","CAM II","HR-1024i","LIC-PAR","Licaria","parvifolia (Lam.) Kosterm.","Upper","427.019555713193","20170305",0.955022587129802
"BNL12864","CAM II","HR-1024i","LIC-PAR","Licaria","parvifolia (Lam.) Kosterm.","Upper","121.721835517207","20170305",0.868075119004128
"BNL12865","CAR I","HR-1024i","KRU-FER","Krugiodendron","ferreum (Vahl) Urb.","Mid","352.824015601729","20170305",0.953324476033814
"BNL12866","CAM II","HR-1024i","GYM-LUC","Gymnanthes","lucida Sw.","Mid","156.007154381788","20170305",0.935090825012738
"BNL12867","FLMM","HR-1024i","AND-INE","Andira","inermis (MOCA)","Upper","223.531543919798","20170305",0.945063701408089
"BNL12868","FLMM","HR-1024i","BOU-SUC","Bourreria","succculenta","Lower","265.195948751385","20170305",0.915453570257542
"BNL12869","FLMM","HR-1024i","PIM-RAC","Pimenta","racemosa","Upper","157.229450776077","20170305",0.944619607730499
"BNL12870","FLMM","HR-1024i","BOU-SUC","Bourreria","succculenta","Upper","56.3594970753518","20170305",0.85603041633254
"BNL12871","FLMM","HR-1024i","BOU-SUC","Bourreria","succculenta","Upper","571.72454147697","20170305",0.896714427285163
"BNL12872","FLMM","PSR+3500","BOU-SUC","Bourreria","succculenta","Upper","62.7030056304907","20170305",0.882949818873487
"BNL12873","FLMM","PSR+3500","MAM-AME","Mammea","americana","Lower","106.71914669693","20170305",0.907750502831698
"BNL12874","FLMM","PSR+3500","MAM-AME","Mammea","americana","Lower","89.0995889286909","20170305",0.930541705906592
"BNL12875","FLMM","PSR+3500","BUR-SIM","Bursera","simaruba","Upper","208.902740638042","20170305",0.930242018376669
