"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","Red","Blue","Far_Red"
"BNL12883","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","140.347578867336","20170305",0.918123975530713,0.957317051909701,0.200731357676273
"BNL12884","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","50.0867957638727","20170305",0.87571981995945,0.953240424710982,0.171879927900333
"BNL12885","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Lower","149.849663807863","20170305",0.927275118531048,0.957670547893309,0.208777336512521
"BNL12886","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Lower","154.147245554359","20170305",0.955978031576773,0.959194473874013,0.313206589003842
"BNL12887","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Lower","248.493841706011","20170305",0.955809127872758,0.959229985564169,0.331873571984349
"BNL12888","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","218.956952138082","20170305",0.956136950717335,0.959205046525172,0.287106588972707
"BNL12889","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","356.135910482","20170305",0.946554138166484,0.958879884278085,0.315306997000726
"BNL12890","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Lower","5.69344423801031","20170305",0.858678849500597,0.950475831654662,0.30053635246531
"BNL12891","FLMM","PSR+3500","MAM-AME","Mammea","americana","Upper","9.98908704837323","20170305",0.958164161350553,0.959283953778999,0.360167826624655
"BNL12892","FLMM","PSR+3500","MAM-AME","Mammea","americana","Upper","116.022039375566","20170305",0.954274459972657,0.959221328274787,0.520130098730285
"BNL12893","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","26.392714959392","20170305",0.86150599387262,0.953252251542807,0.389436843957511
"BNL12894","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Upper","90.7467809152681","20170305",0.936988219844227,0.958492397613243,0.259429162387858
"BNL12895","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Upper","199.788197078347","20170305",0.944060583955646,0.958780988441356,0.292931089267077
"BNL12896","FLMM","PSR+3500","MAM-AME","Mammea","americana","Upper","13.7029765242013","20170305",0.942786113070619,0.958949901707102,0.238144804255162
"BNL12897","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Upper","19.1695853211722","20170305",0.93104846930543,0.958399401325064,0.205769864757435
"BNL12898","FLMM","PSR+3500","MAM-AME","Mammea","americana","Upper","9.33062316690618","20170305",0.959565261648655,0.95933846275587,0.364494641447721
