SampleID,Site,Latitude,Longitude,Sample_Type,Date,Species_Number,Species_ID,Full_Species_Name,Genus,Species,Leaf_Age,Canopy_Position,Light_Exposure
BNL12764,IITF,18.38923,-66.05525,GasEx / Fs,20170307,6-1 (IITF parking),CLI-FAI,Clitorin fairchildan,Clitorin,fairchildan,Mature-Old,Upper,Sunlit
BNL12764T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,6-1 (IITF parking),CLI-FAI,Clitorin fairchildan,Clitorin,fairchildan,Mature-Old,Upper,Sunlit
BNL12765,IITF,18.38923,-66.05525,GasEx / Fs,20170307,6-2 (IITF parking),CLI-FAI,Clitorin fairchildan,Clitorin,fairchildan,Mature-Old,Upper,Sunlit
BNL12765T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,6-2 (IITF parking),CLI-FAI,Clitorin fairchildan,Clitorin,fairchildan,Mature-Old,Upper,Sunlit
BNL12766,IITF,18.38923,-66.05525,GasEx / Fs,20170307,6-3 (IITF parking),CLI-FAI,Clitorin fairchildan,Clitorin,fairchildan,Mature,Upper,Sunlit
BNL12766T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,6-3 (IITF parking),CLI-FAI,Clitorin fairchildan,Clitorin,fairchildan,Mature,Upper,Sunlit
BNL12767,IITF,18.38923,-66.05525,GasEx / Fs,20170307,6-4 (IITF parking),CLI-FAI,Clitorin fairchildan,Clitorin,fairchildan,Old,Upper,Sunlit
BNL12767T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,6-4 (IITF parking),CLI-FAI,Clitorin fairchildan,Clitorin,fairchildan,Old,Upper,Sunlit
BNL12768,IITF,18.38923,-66.05525,GasEx / Fs,20170307,6-5 (IITF parking),CLI-FAI,Clitorin fairchildan,Clitorin,fairchildan,Old,Upper,Sunlit
BNL12768T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,6-5 (IITF parking),CLI-FAI,Clitorin fairchildan,Clitorin,fairchildan,Old,Upper,Sunlit
BNL12769,FLMM,18.387864,-66.028765,GasEx / Fs,20170308,1,ROY-BOR,Roystonea borinquena,Roystonea,borinquena,Old,Upper,Sunlit
BNL12769T,FLMM,18.387864,-66.028765,GasEx / Fs,20170308,1,ROY-BOR,Roystonea borinquena,Roystonea,borinquena,Old,Upper,Sunlit
BNL12770,FLMM,18.387864,-66.028765,GasEx / Fs,20170308,1,ROY-BOR,Roystonea borinquena,Roystonea,borinquena,Old,Upper,Sunlit
BNL12770T,FLMM,18.387864,-66.028765,GasEx / Fs,20170308,1,ROY-BOR,Roystonea borinquena,Roystonea,borinquena,Old,Upper,Sunlit
BNL12771,FLMM,18.387864,-66.028765,Chem,20170308,1,ROY-BOR,Roystonea borinquena,Roystonea,borinquena,Old,Upper,Sunlit
BNL12771T,FLMM,18.387864,-66.028765,Chem,20170308,1,ROY-BOR,Roystonea borinquena,Roystonea,borinquena,Old,Upper,Sunlit
BNL12772,FLMM,18.387864,-66.028765,Chem,20170308,1,ROY-BOR,Roystonea borinquena,Roystonea,borinquena,Old,Upper,Sunlit
BNL12772T,FLMM,18.387864,-66.028765,Chem,20170308,1,ROY-BOR,Roystonea borinquena,Roystonea,borinquena,Old,Upper,Sunlit
BNL12773,IITF,18.38923,-66.05525,GasEx / Fs,20170308,7-IITF,TER-WHR,Terocaous whra,Terocaous,whra,Old,Upper,Sunlit
BNL12773T,IITF,18.38923,-66.05525,GasEx / Fs,20170308,7-IITF,TER-WHR,Terocaous whra,Terocaous,whra,Old,Upper,Sunlit
BNL12774,FLMM+IITF,18.38923,-66.05525,GasEx / Fs,20170308,7-IITF,Cecropia,Cecropia,Cecropia,,Mature,Upper,Sunlit
BNL12774T,FLMM+IITF,18.38923,-66.05525,GasEx / Fs,20170308,7-IITF,Cecropia,Cecropia,Cecropia,,Mature,Upper,Sunlit
BNL12775,FLMM+IITF,18.38923,-66.05525,GasEx / Fs,20170308,7-IITF,Cecropia,Cecropia,Cecropia,,Mature,Upper,Sunlit
BNL12775T,FLMM+IITF,18.38923,-66.05525,GasEx / Fs,20170308,7-IITF,Cecropia,Cecropia,Cecropia,,Mature,Upper,Sunlit
BNL12776,FLMM+IITF,18.38923,-66.05525,Chem,20170308,7-IITF,Cecropia,Cecropia,Cecropia,,Old,Upper,Sunlit
BNL12776T,FLMM+IITF,18.38923,-66.05525,Chem,20170308,7-IITF,Cecropia,Cecropia,Cecropia,,Old,Upper,Sunlit
BNL12777,FLMM+IITF,18.38923,-66.05525,GasEx / Fs,20170308,4-IITF,AND-INE,Andira inermis,Andira,inermis (MOCA),Mature,Upper,Sunlit
BNL12777T,FLMM+IITF,18.38923,-66.05525,GasEx / Fs,20170308,4-IITF,AND-INE,Andira inermis,Andira,inermis (MOCA),Mature,Upper,Sunlit
BNL12778,FLMM+IITF,18.38923,-66.05525,Chem,20170308,7-IITF,Cecropia,Cecropia,Cecropia,,Old,Upper,Sunlit
BNL12778T,FLMM+IITF,18.38923,-66.05525,Chem,20170308,7-IITF,Cecropia,Cecropia,Cecropia,,Old,Upper,Sunlit
BNL12779,FLMM+IITF,18.38923,-66.05525,GasEx / Fs,20170308,4-IITF,AND-INE,Andira inermis,Andira,inermis (MOCA),Old,Upper,Sunlit
BNL12779T,FLMM+IITF,18.38923,-66.05525,GasEx / Fs,20170308,4-IITF,AND-INE,Andira inermis,Andira,inermis (MOCA),Old,Upper,Sunlit
BNL12780,FLMM+IITF ,18.38923,-66.05525,Spectra,20170308,4-IITF,AND-INE,Andira inermis (MOCA),Andira,inermis (MOCA),Old,-9999,-9999
BNL12780T,FLMM+IITF ,18.38923,-66.05525,Spectra,20170308,4-IITF,AND-INE,Andira inermis (MOCA),Andira,inermis (MOCA),Old,-9999,-9999
BNL12781,FLMM+IITF,18.38923,-66.05525,GasEx / Fs,20170308,2-IITF,BUC-BUC,Bucida buceras,Bucida,buceras,Old,Upper,Sunlit
BNL12781T,FLMM+IITF,18.38923,-66.05525,GasEx / Fs,20170308,2-IITF,BUC-BUC,Bucida buceras,Bucida,buceras,Old,Upper,Sunlit
BNL12782,FLMM+IITF,18.38923,-66.05525,GasEx / Fs,20170308,-9999,BUC-BUC,Bucida buceras,Bucida,buceras,Old,Upper,Sunlit
BNL12782T,FLMM+IITF,18.38923,-66.05525,GasEx / Fs,20170308,-9999,BUC-BUC,Bucida buceras,Bucida,buceras,Old,Upper,Sunlit
BNL12783,FLMM+IITF,18.38923,-66.05525,GasEx / Fs,20170308,-9999,BUC-BUC,Bucida buceras,Bucida,buceras,Old,Upper,Sunlit
